satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary,left
0.38,0.53,,157.0,3,0.0,0,sales,low,1
0.8,0.86,5.0,262.0,6,0.0,0,sales,medium,1
0.11,0.88,7.0,272.0,4,0.0,0,sales,medium,1
0.72,0.87,5.0,,5,0.0,0,sales,low,1
0.37,0.52,2.0,159.0,3,0.0,0,sales,low,1
0.41,0.5,2.0,153.0,3,0.0,0,sales,low,1
0.1,0.77,6.0,247.0,4,0.0,0,sales,low,1
0.92,,5.0,259.0,5,0.0,0,sales,low,1
0.89,1.0,5.0,224.0,5,0.0,0,sales,low,1
0.42,0.53,2.0,142.0,3,0.0,0,sales,,1
0.45,0.54,2.0,,3,0.0,0,sales,low,1
0.11,0.81,6.0,305.0,4,0.0,0,sales,low,1
0.84,,4.0,,5,0.0,0,sales,low,1
0.41,,2.0,148.0,3,0.0,0,sales,low,1
0.36,0.56,2.0,137.0,3,0.0,0,sales,low,1
0.38,0.54,2.0,143.0,3,0.0,0,sales,low,1
0.45,0.47,2.0,160.0,3,0.0,0,sales,low,1
0.78,0.99,4.0,255.0,6,0.0,0,sales,low,1
0.45,0.51,2.0,160.0,3,1.0,1,sales,low,1
0.76,0.89,5.0,262.0,5,0.0,0,sales,low,1
0.11,0.83,6.0,282.0,4,0.0,0,sales,,1
0.38,,2.0,147.0,3,0.0,0,sales,low,1
0.09,0.95,6.0,304.0,4,0.0,0,sales,,1
0.46,0.57,2.0,139.0,3,0.0,0,sales,low,1
0.4,0.53,,158.0,3,0.0,0,sales,low,1
0.89,,5.0,242.0,5,0.0,0,sales,,1
0.82,,4.0,239.0,5,0.0,0,sales,low,1
0.4,0.49,2.0,135.0,3,0.0,0,sales,low,1
0.41,0.46,2.0,128.0,3,0.0,0,accounting,low,1
0.38,,2.0,132.0,3,0.0,0,accounting,,1
0.09,0.62,6.0,294.0,4,0.0,0,accounting,low,1
0.45,0.57,2.0,134.0,3,0.0,0,hr,low,1
0.4,0.51,2.0,145.0,3,0.0,0,hr,low,1
0.45,,2.0,140.0,3,0.0,0,hr,low,1
0.84,0.87,4.0,246.0,6,0.0,0,hr,low,1
0.1,0.94,6.0,255.0,4,0.0,0,technical,low,1
0.38,,2.0,137.0,3,0.0,0,technical,low,1
0.45,0.5,2.0,126.0,3,0.0,0,technical,low,1
0.11,,6.0,306.0,4,0.0,0,technical,low,1
0.41,,,152.0,3,0.0,0,technical,low,1
0.87,0.88,5.0,269.0,5,0.0,0,technical,,1
0.45,,2.0,158.0,3,0.0,0,technical,,1
0.4,0.46,2.0,127.0,3,0.0,0,technical,,1
0.1,0.8,7.0,281.0,4,0.0,0,technical,low,1
0.09,0.89,6.0,276.0,4,0.0,0,technical,,1
0.84,,3.0,182.0,4,0.0,0,technical,,1
0.4,0.55,2.0,,3,0.0,0,support,,1
0.57,0.7,3.0,273.0,6,0.0,0,support,low,1
0.4,,2.0,148.0,3,0.0,0,support,low,1
0.43,0.47,2.0,147.0,3,0.0,0,support,low,1
0.13,0.78,6.0,152.0,2,0.0,0,support,,1
0.44,0.55,2.0,135.0,3,0.0,0,support,low,1
0.38,,2.0,134.0,3,0.0,0,support,low,1
0.39,,2.0,132.0,3,0.0,0,support,low,1
0.1,0.92,7.0,307.0,4,,0,support,low,1
0.37,0.46,2.0,140.0,3,0.0,0,support,low,1
0.11,0.94,7.0,255.0,4,0.0,0,support,low,1
0.1,0.81,6.0,,4,0.0,0,technical,,1
0.38,0.54,2.0,128.0,3,0.0,0,technical,low,1
0.85,1.0,,225.0,5,0.0,0,technical,low,1
0.85,0.91,5.0,226.0,5,0.0,0,management,medium,1
0.11,0.93,7.0,,4,0.0,0,IT,medium,1
0.1,0.95,6.0,244.0,5,0.0,0,IT,,1
0.36,0.56,2.0,132.0,3,0.0,0,IT,,1
0.11,,6.0,,4,0.0,0,IT,medium,1
0.81,0.7,6.0,161.0,4,0.0,0,IT,,1
0.43,0.54,2.0,153.0,3,0.0,0,product_mng,medium,1
0.9,0.98,4.0,264.0,6,0.0,0,product_mng,medium,1
0.76,,5.0,223.0,5,1.0,0,product_mng,medium,1
0.43,,2.0,135.0,3,0.0,0,product_mng,medium,1
0.74,,2.0,277.0,3,0.0,0,IT,medium,1
0.09,0.77,5.0,275.0,4,0.0,0,product_mng,,1
0.45,0.49,2.0,149.0,3,0.0,0,product_mng,high,1
0.09,0.87,7.0,295.0,4,0.0,0,product_mng,,1
0.11,,6.0,277.0,4,0.0,0,product_mng,,1
0.11,0.79,,306.0,4,0.0,0,product_mng,medium,1
0.1,0.83,6.0,295.0,4,0.0,0,product_mng,medium,1
0.4,0.54,2.0,,3,0.0,0,marketing,medium,1
0.43,0.56,2.0,157.0,3,0.0,0,sales,low,1
0.39,0.56,2.0,142.0,3,0.0,0,accounting,low,1
0.45,0.54,2.0,140.0,3,0.0,0,support,low,1
0.38,0.49,2.0,151.0,3,0.0,0,technical,low,1
0.79,0.59,4.0,139.0,3,0.0,1,management,,1
0.84,0.85,4.0,249.0,6,0.0,0,marketing,low,1
0.11,,,,4,,0,marketing,low,1
0.11,0.87,6.0,305.0,4,0.0,0,marketing,low,1
0.17,0.84,5.0,,3,0.0,0,sales,low,1
