Address           Kbytes     RSS   Dirty Mode  Mapping
00000000e8000000  277504  277504  277504 rw---   [ anon ]
00000000f8f00000  101376       0       0 -----   [ anon ]
00000000ff200000   12288   12120   12120 rw---   [ anon ]
00000000ffe00000    1076    1072     468 rw--- classes.jsa
00000000fff0d000     972     972     972 rw---   [ anon ]
0000558cecda6000       4       4       0 r---- java
0000558cecda7000       4       4       0 r-x-- java
0000558cecda8000       4       4       0 r---- java
0000558cecda9000       4       0       0 r---- java
0000558cecdaa000       4       0       0 rw--- java
0000558cedf56000    8020    6364    6364 rw---   [ anon ]
00007f2d46ae4000   51220   51220   51220 rw---   [ anon ]
00007f2d49ce9000       4       0       0 -----   [ anon ]
00007f2d49cea000      16       0       0 -----   [ anon ]
00007f2d49cee000    1008      24      24 rw---   [ anon ]
00007f2d49ded000   10244   10244   10244 rw---   [ anon ]
00007f2d4a7ee000       4       0       0 -----   [ anon ]
00007f2d4a7ef000      16       0       0 -----   [ anon ]
00007f2d4a7f3000    1008      92      92 rw---   [ anon ]
00007f2d4ab70000       4       0       0 -----   [ anon ]
00007f2d4ab71000      16       0       0 -----   [ anon ]
00007f2d4ab75000    1008      24      24 rw---   [ anon ]
00007f2d4adf1000       4       0       0 -----   [ anon ]
00007f2d4adf2000      16       0       0 -----   [ anon ]
00007f2d4adf6000    1008      24      24 rw---   [ anon ]
00007f2d4b173000    2564    2564    2564 rw---   [ anon ]
00007f2d4b3f4000       4       0       0 -----   [ anon ]
00007f2d4b3f5000      16       0       0 -----   [ anon ]
00007f2d4b3f9000    1008      24      24 rw---   [ anon ]
00007f2d4b4f5000       4       0       0 -----   [ anon ]
00007f2d4b4f6000      16       0       0 -----   [ anon ]
00007f2d4b4fa000    1008      92      92 rw---   [ anon ]
00007f2d4b5f6000       4       0       0 -----   [ anon ]
00007f2d4b5f7000      16       0       0 -----   [ anon ]
00007f2d4b5fb000    1008     112     112 rw---   [ anon ]
00007f2d4b6f7000       4       0       0 -----   [ anon ]
00007f2d4b6f8000      16       0       0 -----   [ anon ]
00007f2d4b6fc000    1008     104     104 rw---   [ anon ]
00007f2d4b7f8000       4       0       0 -----   [ anon ]
00007f2d4b7f9000      16       0       0 -----   [ anon ]
00007f2d4b7fd000    1008      88      88 rw---   [ anon ]
00007f2d4b8f9000       4       0       0 -----   [ anon ]
00007f2d4b8fa000      16       0       0 -----   [ anon ]
00007f2d4b8fe000    1008      24      24 rw---   [ anon ]
00007f2d4b9fa000       4       0       0 -----   [ anon ]
00007f2d4b9fb000      16       0       0 -----   [ anon ]
00007f2d4b9ff000    1008      92      92 rw---   [ anon ]
00007f2d4bafb000       4       0       0 -----   [ anon ]
00007f2d4bafc000      16       0       0 -----   [ anon ]
00007f2d4bb00000    1008     108     108 rw---   [ anon ]
00007f2d4bbfc000       4       0       0 -----   [ anon ]
00007f2d4bbfd000      16       0       0 -----   [ anon ]
00007f2d4bc01000    1008      88      88 rw---   [ anon ]
00007f2d4bcfd000       4       0       0 -----   [ anon ]
00007f2d4bcfe000      16       0       0 -----   [ anon ]
00007f2d4bd02000    1008      88      88 rw---   [ anon ]
00007f2d4bdfe000       4       0       0 -----   [ anon ]
00007f2d4bdff000      16       0       0 -----   [ anon ]
00007f2d4be03000    1008      88      88 rw---   [ anon ]
00007f2d4beff000       4       0       0 -----   [ anon ]
00007f2d4bf00000      16       0       0 -----   [ anon ]
00007f2d4bf04000    1008      88      88 rw---   [ anon ]
00007f2d4c000000    8592    8484    8484 rw---   [ anon ]
00007f2d4c864000   56944       0       0 -----   [ anon ]
00007f2d50000000   14984   14852   14852 rw---   [ anon ]
00007f2d50ea2000   50552       0       0 -----   [ anon ]
00007f2d54000000   13312   13312   13312 rw---   [ anon ]
00007f2d54d00000    1024    1024    1024 rw---   [ anon ]
00007f2d54e00000    1024    1024    1024 rw---   [ anon ]
00007f2d54f00000    1920    1920    1920 rw---   [ anon ]
00007f2d550e0000     128     128     128 rw---   [ anon ]
00007f2d55100000    2048    2048    2048 rw---   [ anon ]
00007f2d55300000    1024    1024    1024 rw---   [ anon ]
00007f2d55400000    7168    7160    7160 rw---   [ anon ]
00007f2d55b00000    1024    1024    1024 rw---   [ anon ]
00007f2d55c00000    5632    5632    5632 rw---   [ anon ]
00007f2d56180000     512     480     480 rw---   [ anon ]
00007f2d56200000    4352    4352    4352 rw---   [ anon ]
00007f2d56640000   26368       0       0 -----   [ anon ]
00007f2d58000000   23208   21992   21992 rw---   [ anon ]
00007f2d596aa000   42328       0       0 -----   [ anon ]
00007f2d5c000000   13052   12764   12764 rw---   [ anon ]
00007f2d5ccbf000   52484       0       0 -----   [ anon ]
00007f2d60000000   25292   25160   25160 rw---   [ anon ]
00007f2d618b3000   40244       0       0 -----   [ anon ]
00007f2d64000000   17512   11296   11296 rw---   [ anon ]
00007f2d6511a000   48024       0       0 -----   [ anon ]
00007f2d68000000    7716    6736    6736 rw---   [ anon ]
00007f2d68789000   57820       0       0 -----   [ anon ]
00007f2d6c000000    3264    2236    2236 rw---   [ anon ]
00007f2d6c330000   62272       0       0 -----   [ anon ]
00007f2d70000000   11304    6244    6244 rw---   [ anon ]
00007f2d70b0a000   54232       0       0 -----   [ anon ]
00007f2d74000000    5056    4736    4736 rw---   [ anon ]
00007f2d744f0000   60480       0       0 -----   [ anon ]
00007f2d78000000    3836    3268    3268 rw---   [ anon ]
00007f2d783bf000   61700       0       0 -----   [ anon ]
00007f2d7c000000     328     328     328 rw---   [ anon ]
00007f2d7c052000   65208       0       0 -----   [ anon ]
00007f2d80000000     992     984     984 rw---   [ anon ]
00007f2d800f8000   64544       0       0 -----   [ anon ]
00007f2d84000000   16748   16668   16668 rw---   [ anon ]
00007f2d8505b000   48788       0       0 -----   [ anon ]
00007f2d88000000    9724    7172    7172 rw---   [ anon ]
00007f2d8897f000   55812       0       0 -----   [ anon ]
00007f2d8c000000   38832   36120   36120 rw---   [ anon ]
00007f2d8e5ec000   26704       0       0 -----   [ anon ]
00007f2d90000000   37832   34968   34968 rw---   [ anon ]
00007f2d924f2000   27704       0       0 -----   [ anon ]
00007f2d94000000    3540    2888    2888 rw---   [ anon ]
00007f2d94375000   61996       0       0 -----   [ anon ]
00007f2d98000000   11436    7908    7908 rw---   [ anon ]
00007f2d98b2b000   54100       0       0 -----   [ anon ]
00007f2d9c000000   51484   44268   44268 rw---   [ anon ]
00007f2d9f247000   14052       0       0 -----   [ anon ]
00007f2da0000000    6896    4680    4680 rw---   [ anon ]
00007f2da06bc000   58640       0       0 -----   [ anon ]
00007f2da4000000   12188    8596    8596 rw---   [ anon ]
00007f2da4be7000   53348       0       0 -----   [ anon ]
00007f2da8000000    8152    6496    6496 rw---   [ anon ]
00007f2da87f6000   57384       0       0 -----   [ anon ]
00007f2dac000000    6356    5432    5432 rw---   [ anon ]
00007f2dac635000   59180       0       0 -----   [ anon ]
00007f2db0000000   12528    5592    5592 rw---   [ anon ]
00007f2db0c3c000   53008       0       0 -----   [ anon ]
00007f2db40d1000       4       0       0 -----   [ anon ]
00007f2db40d2000      16       0       0 -----   [ anon ]
00007f2db40d6000    1008      88      88 rw---   [ anon ]
00007f2db41d2000       4       0       0 -----   [ anon ]
00007f2db41d3000      16       0       0 -----   [ anon ]
00007f2db41d7000    1008     112     112 rw---   [ anon ]
00007f2db42d3000       4       0       0 -----   [ anon ]
00007f2db42d4000      16       0       0 -----   [ anon ]
00007f2db42d8000    1008      24      24 rw---   [ anon ]
00007f2db43d4000       4       0       0 -----   [ anon ]
00007f2db43d5000      16       0       0 -----   [ anon ]
00007f2db43d9000    1008      24      24 rw---   [ anon ]
00007f2db44d5000       4       0       0 -----   [ anon ]
00007f2db44d6000      16       0       0 -----   [ anon ]
00007f2db44da000    1008      24      24 rw---   [ anon ]
00007f2db45d6000       4       0       0 -----   [ anon ]
00007f2db45d7000      16       0       0 -----   [ anon ]
00007f2db45db000    1008     112     112 rw---   [ anon ]
00007f2db46d7000       4       0       0 -----   [ anon ]
00007f2db46d8000      16       0       0 -----   [ anon ]
00007f2db46dc000    1008      92      92 rw---   [ anon ]
00007f2db47d8000       4       0       0 -----   [ anon ]
00007f2db47d9000      16       0       0 -----   [ anon ]
00007f2db47dd000    1008      88      88 rw---   [ anon ]
00007f2db48d9000       4       0       0 -----   [ anon ]
00007f2db48da000      16       0       0 -----   [ anon ]
00007f2db48de000    1008      88      88 rw---   [ anon ]
00007f2db49da000       4       0       0 -----   [ anon ]
00007f2db49db000      16       0       0 -----   [ anon ]
00007f2db49df000    1008      88      88 rw---   [ anon ]
00007f2db4adb000       4       0       0 -----   [ anon ]
00007f2db4adc000      16       0       0 -----   [ anon ]
00007f2db4ae0000    1008      88      88 rw---   [ anon ]
00007f2db4bdc000       4       0       0 -----   [ anon ]
00007f2db4bdd000      16       0       0 -----   [ anon ]
00007f2db4be1000    1008      88      88 rw---   [ anon ]
00007f2db4cdd000       4       0       0 -----   [ anon ]
00007f2db4cde000      16       0       0 -----   [ anon ]
00007f2db4ce2000    1008      88      88 rw---   [ anon ]
00007f2db4dde000       4       0       0 -----   [ anon ]
00007f2db4ddf000      16       0       0 -----   [ anon ]
00007f2db4de3000    1008      92      92 rw---   [ anon ]
00007f2db4edf000       4       0       0 -----   [ anon ]
00007f2db4ee0000      16       0       0 -----   [ anon ]
00007f2db4ee4000    1008      92      92 rw---   [ anon ]
00007f2db4fe0000       4       0       0 -----   [ anon ]
00007f2db4fe1000      16       0       0 -----   [ anon ]
00007f2db4fe5000    1008      88      88 rw---   [ anon ]
00007f2db50e1000       4       0       0 -----   [ anon ]
00007f2db50e2000      16       0       0 -----   [ anon ]
00007f2db50e6000    1008      88      88 rw---   [ anon ]
00007f2db51e2000       4       0       0 -----   [ anon ]
00007f2db51e3000      16       0       0 -----   [ anon ]
00007f2db51e7000    1008      88      88 rw---   [ anon ]
00007f2db52e3000       4       0       0 -----   [ anon ]
00007f2db52e4000      16       0       0 -----   [ anon ]
00007f2db52e8000    1008      88      88 rw---   [ anon ]
00007f2db53e4000       4       0       0 -----   [ anon ]
00007f2db53e5000      16       0       0 -----   [ anon ]
00007f2db53e9000    1008      88      88 rw---   [ anon ]
00007f2db54e5000       4       0       0 -----   [ anon ]
00007f2db54e6000      16       0       0 -----   [ anon ]
00007f2db54ea000    1008      88      88 rw---   [ anon ]
00007f2db55e6000       4       0       0 -----   [ anon ]
00007f2db55e7000      16       0       0 -----   [ anon ]
00007f2db55eb000    1008      88      88 rw---   [ anon ]
00007f2db56e7000       4       0       0 -----   [ anon ]
00007f2db56e8000      16       0       0 -----   [ anon ]
00007f2db56ec000    1008      88      88 rw---   [ anon ]
00007f2db57e8000       4       0       0 -----   [ anon ]
00007f2db57e9000      16       0       0 -----   [ anon ]
00007f2db57ed000    1008      92      92 rw---   [ anon ]
00007f2db58e9000       4       0       0 -----   [ anon ]
00007f2db58ea000      16       0       0 -----   [ anon ]
00007f2db58ee000    1008     100     100 rw---   [ anon ]
00007f2db59ea000       4       0       0 -----   [ anon ]
00007f2db59eb000      16       0       0 -----   [ anon ]
00007f2db59ef000    1008      88      88 rw---   [ anon ]
00007f2db5aeb000       4       0       0 -----   [ anon ]
00007f2db5aec000      16       0       0 -----   [ anon ]
00007f2db5af0000    1008      88      88 rw---   [ anon ]
00007f2db5bec000       4       0       0 -----   [ anon ]
00007f2db5bed000      16       0       0 -----   [ anon ]
00007f2db5bf1000    1008      96      96 rw---   [ anon ]
00007f2db5ced000       4       0       0 -----   [ anon ]
00007f2db5cee000      16       0       0 -----   [ anon ]
00007f2db5cf2000    1008      88      88 rw---   [ anon ]
00007f2db5dee000       4       0       0 -----   [ anon ]
00007f2db5def000      16       0       0 -----   [ anon ]
00007f2db5df3000    1008      88      88 rw---   [ anon ]
00007f2db5eef000       4       0       0 -----   [ anon ]
00007f2db5ef0000      16       0       0 -----   [ anon ]
00007f2db5ef4000    1008      24      24 rw---   [ anon ]
00007f2db5ff0000       4       0       0 -----   [ anon ]
00007f2db5ff1000      16       0       0 -----   [ anon ]
00007f2db5ff5000    1008      92      92 rw---   [ anon ]
00007f2db60f1000       4       0       0 -----   [ anon ]
00007f2db60f2000      16       0       0 -----   [ anon ]
00007f2db60f6000    1008      88      88 rw---   [ anon ]
00007f2db61f2000       4       0       0 -----   [ anon ]
00007f2db61f3000      16       0       0 -----   [ anon ]
00007f2db61f7000    1008      92      92 rw---   [ anon ]
00007f2db62f3000       4       0       0 -----   [ anon ]
00007f2db62f4000      16       0       0 -----   [ anon ]
00007f2db62f8000    1008     100     100 rw---   [ anon ]
00007f2db63f4000       4       0       0 -----   [ anon ]
00007f2db63f5000      16       0       0 -----   [ anon ]
00007f2db63f9000    1008      88      88 rw---   [ anon ]
00007f2db64f5000       4       0       0 -----   [ anon ]
00007f2db64f6000      16       0       0 -----   [ anon ]
00007f2db64fa000    1008      88      88 rw---   [ anon ]
00007f2db65f6000       4       0       0 -----   [ anon ]
00007f2db65f7000      16       0       0 -----   [ anon ]
00007f2db65fb000    1008      88      88 rw---   [ anon ]
00007f2db66f7000       4       0       0 -----   [ anon ]
00007f2db66f8000      16       0       0 -----   [ anon ]
00007f2db66fc000    1008      88      88 rw---   [ anon ]
00007f2db67f8000       4       0       0 -----   [ anon ]
00007f2db67f9000      16       0       0 -----   [ anon ]
00007f2db67fd000    1008      88      88 rw---   [ anon ]
00007f2db68f9000       4       0       0 -----   [ anon ]
00007f2db68fa000      16       0       0 -----   [ anon ]
00007f2db68fe000    1008      88      88 rw---   [ anon ]
00007f2db69fa000       4       0       0 -----   [ anon ]
00007f2db69fb000      16       0       0 -----   [ anon ]
00007f2db69ff000    1008      24      24 rw---   [ anon ]
00007f2db6afb000       4       0       0 -----   [ anon ]
00007f2db6afc000      16       0       0 -----   [ anon ]
00007f2db6b00000    1008     108     108 rw---   [ anon ]
00007f2db6bfc000       4       0       0 -----   [ anon ]
00007f2db6bfd000      16       0       0 -----   [ anon ]
00007f2db6c01000    1008     100     100 rw---   [ anon ]
00007f2db6cfd000       4       0       0 -----   [ anon ]
00007f2db6cfe000      16       0       0 -----   [ anon ]
00007f2db6d02000    1008     108     108 rw---   [ anon ]
00007f2db6dfe000       4       0       0 -----   [ anon ]
00007f2db6dff000      16       0       0 -----   [ anon ]
00007f2db6e03000    1008     112     112 rw---   [ anon ]
00007f2db6eff000       4       0       0 -----   [ anon ]
00007f2db6f00000      16       0       0 -----   [ anon ]
00007f2db6f04000    5104    4208    4200 rw---   [ anon ]
00007f2db7400000     512     512     512 rw---   [ anon ]
00007f2db7480000     512     512     512 rw---   [ anon ]
00007f2db7500000    2048    2048    2048 rw---   [ anon ]
00007f2db7700000    1024    1024    1024 rw---   [ anon ]
00007f2db7800000    3072    3072    3072 rw---   [ anon ]
00007f2db7b00000    1024    1024    1024 rw---   [ anon ]
00007f2db7c00000    7936    7936    7936 rw---   [ anon ]
00007f2db83c0000     256     256     256 rw---   [ anon ]
00007f2db8400000    1536    1536    1536 rw---   [ anon ]
00007f2db8580000     512     512     512 rw---   [ anon ]
00007f2db8600000    9216    9216    9216 rw---   [ anon ]
00007f2db8f00000    1024    1024    1024 rw---   [ anon ]
00007f2db9000000   21504   21504   21504 rw---   [ anon ]
00007f2dba500000    1024    1024    1024 rw---   [ anon ]
00007f2dba600000   10240   10240   10240 rw---   [ anon ]
00007f2dbb000000   12924   12368   10164 rw--- classes.jsa
00007f2dbbc9f000    3460       0       0 -----   [ anon ]
00007f2dbc000000     128     128     128 rw---   [ anon ]
00007f2dbc020000     128     128     128 rw---   [ anon ]
00007f2dbc040000     512     512     512 rw---   [ anon ]
00007f2dbc0c0000    2048    2040    2040 rw---   [ anon ]
00007f2dbc2c0000     256     256     256 rw---   [ anon ]
00007f2dbc300000    6912    6912    6912 rw---   [ anon ]
